timestamp,value,metric_name,instance,job,remote_name
2025-06-25 06:56:54,11548,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 06:57:54,11789,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 06:58:54,12407,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 06:59:54,12615,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:00:54,12824,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:01:54,14340,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:02:54,14532,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:03:54,14712,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:04:54,14912,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:05:54,15083,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:06:54,15225,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:07:54,15395,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:08:54,15536,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:09:54,17749,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:10:54,18175,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:11:54,18377,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:12:54,18547,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:13:54,18738,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:14:54,18898,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:15:54,17667,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:16:54,17826,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:17:54,18004,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:18:54,18191,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
2025-06-25 07:19:54,18361,alloy_labelstore_remote_store_ids_count,alloy:8080,alloy-metrics,prometheus.remote_write.default
