timestamp,value,metric_name,component_id,component_path,consumer,instance,job
2025-07-12 05:30:28,40,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:31:28,40,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:32:28,40,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:33:28,40,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:34:28,41,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:35:28,43,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:36:28,44,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:37:28,45,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:38:28,45,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:39:28,45,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:40:28,45,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:41:28,45,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:42:28,46,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:43:28,46,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:44:28,47,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:45:28,47,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:46:28,49,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:47:28,49,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:48:28,49,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:49:28,52,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:50:28,52,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:51:28,53,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:52:28,53,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:53:28,62,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:54:28,67,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:55:28,67,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:56:28,68,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:57:28,69,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:58:28,71,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 05:59:28,78,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 06:00:28,78,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
2025-07-12 06:01:28,86,prometheus_wal_watcher_notifications_skipped_total,prometheus.remote_write.default,/,6fb2dc,alloy:8080,alloy-metrics
