timestamp,value,metric_name,component_id,component_path,instance,job
2025-07-07 10:11:11,672459,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:12:11,1198115,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:13:11,1742190,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:14:11,2308051,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:15:11,2872596,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:16:11,3435234,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:17:11,3994324,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:18:11,4553649,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:19:11,5111025,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:20:11,5658931,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:21:11,6208399,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:22:11,6758976,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:23:11,7297204,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:24:11,7848949,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:25:11,8406171,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:26:11,8986682,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:27:11,9590183,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:28:11,10199610,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:29:11,10799809,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:30:11,11376088,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:31:11,11927078,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:32:11,12468221,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:33:11,13005337,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:34:11,13551645,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:35:11,14088417,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:36:11,14647388,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:37:11,15234082,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:38:11,15834366,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:39:11,16436920,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:40:11,17036764,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:41:11,17613714,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:42:11,18167417,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:43:11,18705153,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:44:11,19236594,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:45:11,19769493,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:46:11,20300609,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:47:11,20300609,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:48:11,20300609,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:49:11,20300609,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:50:11,20300609,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:52:11,20566020,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:53:11,21096456,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:54:11,21627860,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:55:11,22152776,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:56:11,22682320,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:57:11,23213771,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:58:11,23740582,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 10:59:11,24268103,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 11:00:11,24803856,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 11:01:11,25346516,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 11:02:11,25887519,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
2025-07-07 11:03:11,26424928,prometheus_remote_write_wal_samples_appended_total,prometheus.remote_write.default,/,alloy:8080,alloy-metrics
