timestamp,value,metric_name,instance,job,namespace,secret
2025-07-13 17:25:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:26:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:27:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:28:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:29:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:30:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:31:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:32:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:33:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:34:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:35:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:36:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:37:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:38:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:39:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:40:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:41:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:42:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:43:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:44:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:45:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:46:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:47:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:48:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:49:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:50:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:51:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:52:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:53:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:54:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:55:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:56:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:57:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
2025-07-13 17:58:48,216,kube_secret_metadata_resource_version,10.244.2.8:8080,prometheus.scrape.annotated_pods,kube-system,bootstrap-token-abcdef
